subject_id,azimuth_deg,elevation_deg,radius_m,itd_us,ild_db
P0001,100.0,0.0,1.5,812.5,16.74879526508237
P0001,100.0,-10.0,1.5,541.6666666666666,18.268715280069777
P0001,100.0,-20.0,1.5,562.5,19.36414475426751
P0001,100.0,-30.0,1.5,520.8333333333334,19.3621526626207
P0001,100.0,-45.0,1.5,458.3333333333333,14.555120048150856
P0001,275.0,-45.0,1.5,-395.8333333333333,-15.755784717326675
P0001,275.0,-30.0,1.5,-479.16666666666663,-17.869787665617444
P0001,275.0,-20.0,1.5,-583.3333333333334,-17.11352879688713
P0001,275.0,-10.0,1.5,-604.1666666666667,-16.73178856976403
P0001,275.0,0.0,1.5,-625.0,-17.20371448749935
P0001,275.0,10.0,1.5,-625.0,-18.102065698520455
P0001,275.0,20.0,1.5,-583.3333333333334,-18.060765482229282
P0001,275.0,30.0,1.5,-541.6666666666666,-17.272525495877318
P0001,275.0,45.0,1.5,-416.6666666666667,-14.967191733572315
P0001,275.0,60.0,1.5,-291.6666666666667,-12.951382838464713
P0001,275.0,75.0,1.5,-166.66666666666666,-8.475206166655031
P0001,95.0,75.0,1.5,83.33333333333333,6.8682473892786
P0001,95.0,60.0,1.5,229.16666666666666,11.121608031379521
P0001,95.0,45.0,1.5,395.8333333333333,12.937215338034322
P0001,95.0,30.0,1.5,520.8333333333334,13.182901520121355
P0001,95.0,20.0,1.5,625.0,16.888615431677486
P0001,95.0,10.0,1.5,583.3333333333334,18.073324929114815
P0001,95.0,0.0,1.5,791.6666666666666,17.829976766100767
P0001,95.0,-10.0,1.5,583.3333333333334,19.327517608416766
P0001,95.0,-20.0,1.5,583.3333333333334,19.47570720553347
P0001,95.0,-30.0,1.5,541.6666666666666,19.126187545734624
P0001,95.0,-45.0,1.5,479.16666666666663,16.36405611489882
P0001,270.0,-45.0,1.5,-333.3333333333333,-16.574844687015855
P0001,270.0,-30.0,1.5,-541.6666666666666,-17.779338861672542
P0001,270.0,-20.0,1.5,-583.3333333333334,-16.76703508566731
P0001,270.0,-10.0,1.5,-645.8333333333334,-16.219164822632724
P0001,270.0,0.0,1.5,-666.6666666666666,-16.76605553501179
P0001,270.0,10.0,1.5,-687.5,-16.704403648478532
P0001,270.0,20.0,1.5,-645.8333333333334,-16.344187990371996
P0001,270.0,30.0,1.5,-562.5,-17.175360765843916
P0001,270.0,45.0,1.5,-437.5,-15.369489506801468
P0001,270.0,60.0,1.5,-312.5,-13.15712469433482
P0001,270.0,75.0,1.5,-166.66666666666666,-8.692944006429334
P0001,90.0,75.0,1.5,104.16666666666667,6.612749884485815
P0001,90.0,60.0,1.5,229.16666666666666,11.364492552987217
P0001,90.0,45.0,1.5,395.8333333333333,13.568997623045384
P0001,90.0,30.0,1.5,541.6666666666666,12.7024671597439
P0001,90.0,20.0,1.5,625.0,15.182219135875325
P0001,90.0,10.0,1.5,729.1666666666667,17.734673122340727
P0001,90.0,0.0,1.5,791.6666666666666,18.50541930174144
P0001,90.0,-10.0,1.5,666.6666666666666,20.077003249041177
P0001,90.0,-20.0,1.5,583.3333333333334,19.616726553719204
P0001,90.0,-30.0,1.5,583.3333333333334,19.3122610444171
P0001,90.0,-45.0,1.5,500.0,18.398575060808106
P0001,265.0,-45.0,1.5,-354.1666666666667,-17.571231379242896
P0001,265.0,-30.0,1.5,-541.6666666666666,-17.833290509301687
P0001,265.0,-20.0,1.5,-583.3333333333334,-16.975454946948602
P0001,265.0,-10.0,1.5,-666.6666666666666,-16.581777532630603
P0001,265.0,0.0,1.5,-687.5,-16.82357711964302
P0001,265.0,10.0,1.5,-708.3333333333334,-15.148098073470235
P0001,265.0,20.0,1.5,-666.6666666666666,-13.961104316603363
P0001,265.0,30.0,1.5,-604.1666666666667,-15.123824712939316
